ticker,company,ai_native_biotechs,ai_boom_strategy,ai_focused_risk_managed_strategy,source_count,pool_available_from
ABSI,Absci Corporation,1,0,0,1,2026-06-22
AMD,Advanced Micro Devices,0,1,1,2,2025-01-12
ASML,ASML Holding NV,0,1,0,1,2025-01-12
BIDU,"Baidu, Inc.",0,1,0,1,2025-01-12
CERT,"Certara, Inc.",1,0,0,1,2026-06-22
DNA,"Ginkgo Bioworks Holdings, Inc.",1,0,0,1,2026-06-22
GOOGL,Alphabet Inc. Class A,0,1,1,2,2025-01-12
HYFT,MindWalk Holdings Corp.,1,0,0,1,2026-06-22
INTC,Intel Corp.,0,1,1,2,2025-01-12
ISRG,Intuitive Surgical Inc.,0,1,1,2,2025-01-12
META,Meta Platforms Inc. Class A,0,1,0,1,2025-01-12
MSFT,Microsoft Corp.,0,1,1,2,2025-01-12
NVDA,Nvidia Corp.,0,1,1,2,2025-01-12
PLTR,Palantir Technologies Inc. Class A,0,1,0,1,2025-01-12
RLAY,"Relay Therapeutics, Inc.",1,0,0,1,2026-06-22
RXRX,"Recursion Pharmaceuticals, Inc. Class A",1,0,0,1,2026-06-22
SDGR,"Schrodinger, Inc.",1,0,0,1,2026-06-22
SNOW,Snowflake Inc.,0,1,0,1,2025-01-12
TSLA,"Tesla, Inc.",0,1,0,1,2025-01-12
